0 814
814 1128
1942 2971
4913 4443
9356 9711
19067 2223
21290 3198
24488 2133
26621 2314
28935 27075
56010 1928
57938 1808
59746 5408
65154 5498
70652 2535
73187 3446
76633 4810
81443 3761
85204 3414
88618 15522
104140 4178
108318 3631
111949 10191
122140 1716
123856 1537
125393 5902
131295 10994
142289 5288
147577 3890
151467 2233
153700 1344
155044 702
155746 1568
157314 4687
162001 2773
164774 1989
166763 8829
175592 6309
181901 5229
187130 2010
189140 6512
195652 3006
198658 2976
201634 7548
209182 1734
210916 2154
213070 2629
215699 1736
217435 7652
225087 3418
228505 3075
231580 1937
233517 5612
239129 8223
247352 3245
250597 615
251212 3694
254906 5161
260067 6947
267014 959
267973 2401
270374 4406
274780 3590
278370 2943
281313 5664
286977 5126
292103 7392
299495 1162
300657 3977
304634 1385
306019 7385
313404 3331
316735 4420
321155 4914
326069 2383
328452 6117
334569 2317
336886 1746
338632 15350
353982 9335
363317 5431
368748 1409
370157 5734
375891 1431
377322 6602
383924 4671
388595 4647
393242 9806
403048 1769
404817 3515
408332 15744
424076 9635
433711 3947
437658 7934
445592 13817
459409 3835
463244 14129
477373 5437
482810 5162
487972 7855
495827 5349
501176 11038
512214 1863
514077 7298
521375 3719
525094 7957
533051 509
533560 5244
538804 2525
541329 3112
544441 3910
548351 780
549131 902
550033 5703
555736 1515
557251 2169
559420 2649
562069 3697
565766 3301
569067 2117
571184 4857
576041 10173
586214 618
586832 3195
590027 3484
593511 5345
598856 3794
602650 6279
608929 9887
618816 2106
620922 1662
622584 3154
625738 5611
631349 3699
635048 2013
637061 4425
641486 1395
642881 9484
652365 4607
656972 2612
659584 3606
663190 1834
665024 1514
666538 1536
668074 4747
672821 2922
675743 8590
684333 7806
692139 5337
697476 3072
700548 7155
707703 1225
708928 2832
711760 2619
714379 1979
716358 2348
718706 555
719261 5912
725173 548
725721 2104
727825 6656
734481 5911
740392 2549
742941 3103
746044 8970
755014 3645
758659 3922
762581 3069
765650 8985
774635 4069
778704 3422
782126 3667
785793 1496
787289 4511
791800 1051
792851 1805
794656 5625
800281 2124
802405 1825
804230 15883
820113 5962
826075 2283
828358 2647
831005 5432
836437 3951
840388 13800
854188 3855
858043 1878
859921 3668
863589 6623
870212 2990
873202 594
873796 4719
878515 4585
883100 2739
885839 4772
890611 2187
892798 769
893567 3368
896935 3719
900654 6385
907039 1516
908555 2713
911268 2122
913390 3137
916527 1631
918158 8543
926701 3532
930233 3419
933652 1394
935046 7944
942990 8228
951218 8665
959883 5714
965597 7110
972707 5519
978226 1823
980049 6452
986501 9064
995565 3892
999457 4621
1004078 2755
1006833 2425
1009258 3889
1013147 4837
1017984 4290
1022274 3275
1025549 7080
1032629 8603
1041232 8516
1049748 2824
1052572 673
1053245 4217
1057462 8163
1065625 8364
1073989 5435
1079424 2440
1081864 7625
1089489 6669
1096158 3489
1099647 2926
1102573 1086
1103659 3080
1106739 10627
1117366 7590
1124956 7643
1132599 1067
1133666 2995
1136661 1820
1138481 8054
1146535 6968
1153503 4088
1157591 1058
1158649 9606
1168255 9657
1177912 2732
1180644 3820
1184464 5717
1190181 14809
1204990 3071
1208061 4482
1212543 7918
1220461 6525
1226986 2533
1229519 3892
1233411 3827
1237238 3412
1240650 5104
1245754 2266
1248020 1132
1249152 1389
1250541 4021
1254562 1016
1255578 3512
1259090 3326
1262416 3701
1266117 3302
1269419 2490
1271909 1012
1272921 1287
1274208 8092
1282300 7038
1289338 4509
1293847 7323
1301170 1021
1302191 3355
1305546 9096
1314642 2173
1316815 6321
1323136 6312
1329448 1168
1330616 856
1331472 6826
1338298 3607
1341905 2706
1344611 1049
1345660 3785
1349445 1680
1351125 2730
1353855 543
1354398 4179
1358577 6101
1364678 1767
1366445 3622
1370067 2484
1372551 5809
1378360 7795
1386155 4968
1391123 936
1392059 1302
1393361 2062
1395423 4094
1399517 3523
1403040 635
1403675 4088
1407763 2939
1410702 2882
1413584 3534
1417118 5641
1422759 4676
1427435 5123
1432558 2736
1435294 9197
1444491 9435
1453926 5577
1459503 2052
1461555 7384
1468939 3517
1472456 3763
1476219 2637
1478856 8395
1487251 1337
1488588 1913
1490501 3117
1493618 4589
1498207 2054
1500261 1230
1501491 1250
1502741 5318
1508059 2812
1510871 4045
1514916 1167
1516083 2053
1518136 2175
1520311 1368
1521679 2923
1524602 1615
1526217 5327
1531544 768
1532312 563
1532875 892
1533767 703
1534470 564
1535034 1372
1536406 3555
1539961 3770
1543731 543
1544274 2116
1546390 1369
1547759 3427
1551186 3299
1554485 5355
1559840 3041
1562881 3842
1566723 3321
1570044 3070
1573114 2132
1575246 1966
1577212 3229
1580441 3808
1584249 242
1584491 2203
1586694 3840
1590534 3653
1594187 11183
1605370 10106
1615476 3855
1619331 3479
1622810 4249
1627059 1548
1628607 1489
1630096 2384
1632480 1981
1634461 3133
1637594 2792
1640386 2419
1642805 5698
1648503 2582
1651085 8612
1659697 7435
1667132 2449
1669581 1493
1671074 1673
1672747 2706
1675453 2614
1678067 2285
1680352 3096
1683448 2102
1685550 3020
1688570 6988
1695558 6394
1701952 6926
1708878 6805
1715683 3977
1719660 8158
1727818 7819
1735637 3149
1738786 1832
1740618 3016
1743634 1648
1745282 3058
1748340 3469
1751809 1893
1753702 1560
1755262 4804
1760066 1777
1761843 1551
1763394 2497
1765891 3648
1769539 2096
1771635 1491
1773126 2844
1775970 7850
1783820 3365
1787185 3658
1790843 8907
1799750 3766
1803516 2857
1806373 2234
1808607 3600
1812207 3527
1815734 2103
1817837 1632
1819469 1826
1821295 6392
1827687 3231
1830918 2267
1833185 1892
1835077 3454
1838531 2037
1840568 4182
1844750 2746
1847496 3789
1851285 1778
1853063 1569
1854632 1578
1856210 1650
1857860 3680
1861540 2765
1864305 3992
1868297 2411
1870708 2425
1873133 2619
1875752 2402
1878154 2564
1880718 23283
1904001 3244
1907245 3646
1910891 6348
1917239 3117
1920356 3325
1923681 3438
1927119 5265
1932384 1640
1934024 2617
1936641 3447
1940088 2478
1942566 1106
1943672 2389
1946061 5109
1951170 4253
1955423 3044
1958467 3803
1962270 2665
1964935 5446
